Ярославль,72,116,309,407,517,595,629,613,592,607,577,,571,,https://ru.wikipedia.org/wiki/%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D1%8C
Севастополь[Крым 1],54,75,114,148,229,301,356,,,416,548,547,558,561,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C
Томск,52,92,145,249,338,423,473,488,525,569,556,555,552,546,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D1%81%D0%BA
Ставрополь,42,59,85,141,198,257,318,355,399,430,547,,550,,https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C
Кемерово,,22,137,289,374,509,461,485,533,553,557,556,549,540,https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D0%BC%D0%B5%D1%80%D0%BE%D0%B2%D0%BE
Набережные Челны,,4,9,16,38,305,500,510,513,527,548,547,546,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D1%8B%D0%B5_%D0%A7%D0%B5%D0%BB%D0%BD%D1%8B
Оренбург,72,123,172,267,344,458,517,549,548,563,544,,539,,https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B5%D0%BD%D0%B1%D1%83%D1%80%D0%B3
Новокузнецк,3,4,166,382,496,544,583,550,548,551,537,536,534,,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BA%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BA
Балашиха,,8,29,58,92,117,135,148,216,428,521,,527,,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%B0%D1%88%D0%B8%D1%85%D0%B0
Рязань,46,51,95,214,350,450,512,522,525,535,529,527,523,,https://ru.wikipedia.org/wiki/%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C
Чебоксары,5,9,31,104,209,307,420,441,454,481,498,497,496,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%B1%D0%BE%D0%BA%D1%81%D0%B0%D1%80%D1%8B
Пенза,60,92,160,255,374,482,522,518,517,525,501,499,492,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%B7%D0%B0
Липецк,21,21,67,157,289,394,450,506,509,510,496,495,490,,https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BF%D0%B5%D1%86%D0%BA
Калининград,,,,204,297,354,401,430,432,460,490,491,490,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4
Киров,25,62,144,252,359,388,440,458,474,497,468,,472,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%BE%D0%B2_(%D0%9A%D0%B8%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C)
Астрахань,113,184,259,305,410,458,478,505,520,532,476,,469,,https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%8C
Тула,115,155,285,351,462,513,540,481,501,486,474,,467,,https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BB%D0%B0
Сочи,,13,71,127,224,243,337,329,343,401,466,,447,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%87%D0%B8
Улан-Удэ,8,29,126,174,254,300,353,359,404,431,438,,436,,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B0%D0%BD-%D0%A3%D0%B4%D1%8D
Курск,76,82,120,205,284,371,424,412,415,443,440,,435,,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D1%81%D0%BA
Тверь,54,108,216,261,345,411,451,409,404,416,416,416,415,413,https://ru.wikipedia.org/wiki/%D0%A2%D0%B2%D0%B5%D1%80%D1%8C
Магнитогорск,,,146,311,364,410,440,419,408,418,411,410,409,,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B3%D0%BD%D0%B8%D1%82%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA
Сургут,1,1,2,6,34,107,248,285,307,349,396,398,407,420,https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%80%D0%B3%D1%83%D1%82
Брянск,25,86,174,207,318,394,452,432,416,406,379,,376,,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8F%D0%BD%D1%81%D0%BA
Якутск,7,11,53,74,108,153,187,211,270,304,355,359,361,,https://ru.wikipedia.org/wiki/%D0%AF%D0%BA%D1%83%D1%82%D1%81%D0%BA
Иваново,54,111,285,335,420,464,481,432,408,408,362,,361,,https://ru.wikipedia.org/wiki/%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BE
Владимир,28,40,67,154,234,294,350,316,345,355,350,,347,,"https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4,_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F)"
Симферополь[Крым 1],49,88,143,188,250,302,344,,,336,341,,338,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BC%D1%84%D0%B5%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C
Калуга,50,52,89,134,211,264,311,335,325,342,337,,334,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%83%D0%B3%D0%B0
Белгород,27,31,34,72,151,238,300,337,356,387,340,341,334,,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4
Чита,12,64,121,172,241,302,366,317,324,344,334,,334,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B8%D1%82%D0%B0
Грозный,16,97,172,250,341,375,400,211,272,287,329,,331,,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B7%D0%BD%D1%8B%D0%B9
Нижний Тагил,30,39,160,338,378,401,440,390,362,356,339,336,334,331,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9_%D0%A2%D0%B0%D0%B3%D0%B8%D0%BB
Волжский,,,,67,142,213,269,313,314,326,321,320,317,,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%B6%D1%81%D0%BA%D0%B8%D0%B9
Смоленск,47,79,157,147,231,297,341,325,327,329,317,317,313,,https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA
Подольск,4,20,72,129,169,202,209,181,188,294,315,,312,,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D0%BE%D0%BB%D1%8C%D1%81%D0%BA
Саранск,15,15,41,91,191,262,312,305,297,308,315,,312,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%80%D0%B0%D0%BD%D1%81%D0%BA
Вологда,28,58,95,139,178,236,282,293,302,313,314,312,312,,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BE%D0%B3%D0%B4%D0%B0
Курган,10,28,53,146,244,308,356,346,334,325,311,308,306,302,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B3%D0%B0%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Череповец,7,22,32,92,188,266,310,312,312,319,305,303,301,,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%B5%D0%BF%D0%BE%D0%B2%D0%B5%D1%86
Архангельск,21,77,251,258,343,385,416,356,349,351,301,,299,,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA
Орёл,70,76,111,150,232,303,337,333,318,320,303,,297,,https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D1%91%D0%BB_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Владикавказ,44,78,131,164,236,276,300,316,312,307,296,,293,,https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BA%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7
